::1 - - [17/Dec/2021:15:48:01 +0100] "GET / HTTP/1.1" 200 3243
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /styles/css/index.css HTTP/1.1" 200 250
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /styles/css/menu.css HTTP/1.1" 200 1422
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /styles/css/producto.css HTTP/1.1" 200 716
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /styles/assets/producto/36.jfif HTTP/1.1" 200 8163
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /styles/assets/producto/47.PNG HTTP/1.1" 200 1508237
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /styles/assets/web/fondo2.jpg HTTP/1.1" 200 344145
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /styles/assets/producto/35.png HTTP/1.1" 200 1508237
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /styles/assets/producto/39.jpg HTTP/1.1" 200 10042
::1 - - [17/Dec/2021:15:48:02 +0100] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [17/Dec/2021:15:56:27 +0100] "GET /login.php HTTP/1.1" 200 1246
::1 - - [17/Dec/2021:15:56:27 +0100] "GET /styles/css/login.css HTTP/1.1" 200 2951
::1 - - [17/Dec/2021:15:56:27 +0100] "GET /styles/assets/web/fondo2.jpg HTTP/1.1" 304 -
::1 - - [17/Dec/2021:15:57:05 +0100] "POST /controllers/contr_login.php HTTP/1.1" 302 4
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /content/panel-admin.php HTTP/1.1" 200 5999
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/css/panel_admin.css HTTP/1.1" 200 1295
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/css/menu.css HTTP/1.1" 304 -
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/fegzrb.jfif HTTP/1.1" 200 8163
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/dmjqws.jfif HTTP/1.1" 200 8163
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/gajlpk.jfif HTTP/1.1" 200 8163
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/Nzvl02.PNG HTTP/1.1" 200 1508237
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/qH27OO.PNG HTTP/1.1" 200 1508237
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/FXTgAN.PNG HTTP/1.1" 200 1508237
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/producto/36.jfif HTTP/1.1" 304 -
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/producto/35.png HTTP/1.1" 304 -
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/producto/39.jpg HTTP/1.1" 304 -
::1 - - [17/Dec/2021:15:57:05 +0100] "GET /styles/assets/producto/47.PNG HTTP/1.1" 304 -
::1 - - [17/Dec/2021:15:57:08 +0100] "GET /content/create_user.php HTTP/1.1" 200 1730
::1 - - [17/Dec/2021:15:57:08 +0100] "GET /styles/css/create_user.css HTTP/1.1" 200 2911
::1 - - [17/Dec/2021:15:57:10 +0100] "GET /content/panel-admin.php HTTP/1.1" 200 5999
::1 - - [17/Dec/2021:15:57:12 +0100] "GET /content/crud_user.php?id=dmjqws HTTP/1.1" 200 1003
::1 - - [17/Dec/2021:15:57:30 +0100] "GET /content/panel-admin.php HTTP/1.1" 200 5999
::1 - - [17/Dec/2021:15:57:45 +0100] "GET /content/panel-admin.php HTTP/1.1" 200 5999
::1 - - [17/Dec/2021:15:57:46 +0100] "GET /styles/assets/web/fondo2.jpg HTTP/1.1" 304 -
::1 - - [17/Dec/2021:15:57:46 +0100] "GET /content/create_user.php HTTP/1.1" 200 1730
::1 - - [17/Dec/2021:15:57:47 +0100] "GET /content/panel-admin.php HTTP/1.1" 200 5999
::1 - - [17/Dec/2021:15:57:50 +0100] "GET /content/crud_user.php?id=dmjqws HTTP/1.1" 200 1912
::1 - - [17/Dec/2021:16:00:30 +0100] "GET /content/crud_user.php?id=dmjqws HTTP/1.1" 200 2490
::1 - - [17/Dec/2021:16:00:30 +0100] "GET /styles/css/menu.css HTTP/1.1" 304 -
