[Tue Nov 23 18:56:16.416017 2021] [mpm_winnt:notice] [pid 4404:tid 808] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Tue Nov 23 18:56:16.416017 2021] [mpm_winnt:notice] [pid 4404:tid 808] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Tue Nov 23 18:56:16.416017 2021] [core:notice] [pid 4404:tid 808] AH00094: Command line: 'C:\\Users\\DAW2\\Desktop\\TiendaPHP\\USBWebserver/apache2/bin/httpd_usbwv8.exe -d C:/Users/DAW2/Desktop/TiendaPHP/USBWebserver/apache2'
[Tue Nov 23 18:56:16.418985 2021] [mpm_winnt:notice] [pid 4404:tid 808] AH00418: Parent: Created child process 476
[Tue Nov 23 18:56:17.068357 2021] [mpm_winnt:notice] [pid 476:tid 872] AH00354: Child: Starting 64 worker threads.
[Tue Nov 23 19:01:45.902672 2021] [:error] [pid 476:tid 1400] [client ::1:51520] PHP Notice:  Undefined variable: ident in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_product.php on line 48, referer: http://localhost:8080/content/create_product.php
[Tue Nov 23 19:04:49.173420 2021] [:error] [pid 476:tid 1372] [client ::1:51564] PHP Notice:  Undefined variable: ident in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_product.php on line 58, referer: http://localhost:8080/content/create_product.php
[Tue Nov 23 19:14:54.142823 2021] [:error] [pid 476:tid 1380] [client ::1:52366] PHP Fatal error:  Call to undefined function subirImagen() in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_product.php on line 52, referer: http://localhost:8080/content/create_product.php
[Tue Nov 23 19:20:24.502995 2021] [:error] [pid 476:tid 1400] [client ::1:52431] PHP Notice:  Undefined variable: imagen in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 71, referer: http://localhost:8080/register.php
[Tue Nov 23 19:20:24.504988 2021] [:error] [pid 476:tid 1400] [client ::1:52431] PHP Notice:  Undefined variable: tmp_name in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 73, referer: http://localhost:8080/register.php
[Tue Nov 23 19:20:24.504988 2021] [:error] [pid 476:tid 1400] [client ::1:52431] PHP Notice:  Undefined variable: name in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 73, referer: http://localhost:8080/register.php
[Tue Nov 23 19:21:53.759382 2021] [:error] [pid 476:tid 1380] [client ::1:52455] PHP Notice:  Undefined variable: imagen in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 72, referer: http://localhost:8080/register.php
[Tue Nov 23 19:23:55.430628 2021] [:error] [pid 476:tid 1376] [client ::1:52481] PHP Notice:  Undefined variable: imagen in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 72, referer: http://localhost:8080/register.php
[Tue Nov 23 19:25:21.854586 2021] [:error] [pid 476:tid 1376] [client ::1:52489] PHP Notice:  Undefined variable: imagen in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 72, referer: http://localhost:8080/register.php
[Tue Nov 23 19:26:13.473478 2021] [:error] [pid 476:tid 1376] [client ::1:52517] PHP Notice:  Undefined variable: imagen in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 72, referer: http://localhost:8080/register.php
[Tue Nov 23 19:27:20.086404 2021] [:error] [pid 476:tid 1376] [client ::1:52528] PHP Notice:  Undefined variable: imagen in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 72, referer: http://localhost:8080/register.php
[Tue Nov 23 19:34:26.567132 2021] [:error] [pid 476:tid 1376] [client ::1:50987] PHP Warning:  Missing argument 1 for randw(), called in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 30 and defined in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 37, referer: http://localhost:8080/register.php
[Tue Nov 23 19:34:26.568131 2021] [:error] [pid 476:tid 1376] [client ::1:50987] PHP Warning:  Missing argument 1 for randw(), called in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 58 and defined in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 37, referer: http://localhost:8080/register.php
[Tue Nov 23 19:35:17.359009 2021] [:error] [pid 476:tid 1400] [client ::1:51014] PHP Warning:  Missing argument 1 for randw(), called in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 30 and defined in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 37, referer: http://localhost:8080/register.php
[Tue Nov 23 19:35:17.359009 2021] [:error] [pid 476:tid 1400] [client ::1:51014] PHP Warning:  Missing argument 1 for randw(), called in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 59 and defined in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 37, referer: http://localhost:8080/register.php
[Tue Nov 23 19:40:04.103843 2021] [:error] [pid 476:tid 1376] [client ::1:64331] PHP Parse error:  syntax error, unexpected '6' (T_LNUMBER), expecting '&' or variable (T_VARIABLE) in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 37, referer: http://localhost:8080/register.php
[Tue Nov 23 19:40:28.143505 2021] [:error] [pid 476:tid 1376] [client ::1:64335] PHP Warning:  Missing argument 1 for randw(), called in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 65 and defined in C:\\Users\\DAW2\\Desktop\\TiendaPHP\\controllers\\contr_register.php on line 37, referer: http://localhost:8080/register.php
